ElementType,Label,Value,DeviceIdOrHostname,InterfaceName
DEVICE,NetworkServices,L2,SN-pw-pe-04
DEVICE,NetworkServices,L2,SN-eocDc-pe-01
DEVICE,NetworkServices,L2,SN-as-pe-01
DEVICE,NetworkServices,L2,SN-as-pe-02
DEVICE,NetworkServices,L2,SN-campus-pe-03
DEVICE,NetworkServices,L2,SN-jc-pe-01
DEVICE,NetworkServices,L2,SN-as-p-02
DEVICE,NetworkServices,L2,SN-campus-pe-04
DEVICE,NetworkServices,L2,SN-pw-pe-03
DEVICE,NetworkServices,L2,SN-cape-pe-01
DEVICE,NetworkServices,L2,SN-jc-fw-01
DEVICE,NetworkServices,L2,SN-pw-pe-01
DEVICE,NetworkServices,L2,SN-eocDc-pe-02
DEVICE,NetworkServices,L2,SN-campus-pe-01
DEVICE,NetworkServices,L2,SN-cape-pe-02
DEVICE,NetworkServices,L2,SN-pw-pe-02
DEVICE,NetworkServices,L2,SN-campus-pe-02
DEVICE,NetworkServices,L2,SN-jc-pe-02
DEVICE,NetworkServices,L3,SN-campus-pe-03
DEVICE,NetworkServices,L3,SN-cape-pe-01
DEVICE,NetworkServices,L3,SN-jc-pe-02
DEVICE,NetworkServices,L3,SN-jc-fw-01
DEVICE,NetworkServices,L3,SN-campus-pe-02
DEVICE,NetworkServices,L3,SN-as-p-02
DEVICE,NetworkServices,L3,SN-pw-pe-01
DEVICE,NetworkServices,L3,SN-cape-pe-02
DEVICE,NetworkServices,L3,SN-pw-pe-04
DEVICE,NetworkServices,L3,SN-eocDc-pe-01
DEVICE,NetworkServices,L3,SN-as-pe-01
DEVICE,NetworkServices,L3,SN-pw-pe-02
DEVICE,NetworkServices,L3,SN-campus-pe-01
DEVICE,NetworkServices,L3,SN-jc-pe-01
DEVICE,NetworkServices,L3,SN-pw-pe-03
DEVICE,NetworkServices,L3,SN-campus-pe-04
DEVICE,NetworkServices,L3,SN-as-pe-02
DEVICE,NetworkServices,L3,SN-eocDc-pe-02
DEVICE,Vtep,True,SN-pw-pe-01
DEVICE,Vtep,True,SN-jc-pe-01
DEVICE,Vtep,True,SN-eocDc-pe-02
DEVICE,Vtep,True,SN-pw-pe-02
DEVICE,Vtep,True,SN-as-p-02
DEVICE,Vtep,True,SN-as-pe-01
DEVICE,Vtep,True,SN-campus-pe-01
DEVICE,Vtep,True,SN-cape-pe-02
DEVICE,Vtep,True,SN-campus-pe-02
DEVICE,Vtep,True,SN-eocDc-pe-01
DEVICE,Vtep,True,SN-campus-pe-04
DEVICE,Vtep,True,SN-pw-pe-03
DEVICE,Vtep,True,SN-jc-pe-02
DEVICE,Vtep,True,SN-cape-pe-01
DEVICE,Vtep,True,SN-campus-pe-03
DEVICE,Vtep,True,SN-pw-pe-04
