ElementType,Label,Value,DeviceIdOrHostname,InterfaceName
DEVICE,NetworkServices,L3,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,NetworkServices,L3,5F25F4C27186651AB03E3940D74881AA
DEVICE,NetworkServices,L3,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,NetworkServices,L3,EB2057F064AFF73DFDE3FBCCA9A50ADD
DEVICE,NetworkServices,L3,433AD80F311A46CE26C34012C05E9714
DEVICE,NetworkServices,L3,54814A3FC3EDD8610AF41015CF093055
DEVICE,NetworkServices,L2,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,NetworkServices,L2,5F25F4C27186651AB03E3940D74881AA
DEVICE,NetworkServices,L2,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,NetworkServices,L2,EB2057F064AFF73DFDE3FBCCA9A50ADD
DEVICE,NetworkServices,L2,433AD80F311A46CE26C34012C05E9714
DEVICE,NetworkServices,L2,54814A3FC3EDD8610AF41015CF093055
DEVICE,router_bgp.as,6
DEVICE,router_bgp.as,7
DEVICE,router_bgp.as,65010
DEVICE,router_bgp.as,15
DEVICE,router_bgp.as,16
DEVICE,router_bgp.as,18
DEVICE,router_bgp.as,3
DEVICE,router_bgp.as,11
DEVICE,router_bgp.as,65000
DEVICE,router_bgp.as,11214,433AD80F311A46CE26C34012C05E9714
DEVICE,router_bgp.as,11214,54814A3FC3EDD8610AF41015CF093055
DEVICE,router_bgp.as,11214,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,router_bgp.as,11214,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,router_bgp.as,11214,5F25F4C27186651AB03E3940D74881AA
DEVICE,router_bgp.as,11214,EB2057F064AFF73DFDE3FBCCA9A50ADD
DEVICE,router_bgp.as,11214,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,router_bgp.as,11214,5B43A61E50CD1D472755A286BC30A92D
DEVICE,router_bgp.as,11214,59713B4DD921228883414E230589C755
DEVICE,router_bgp.as,11214,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,router_bgp.as,11214,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,router_bgp.as,65001
DEVICE,router_bgp.as,65013
DEVICE,router_bgp.as,2
DEVICE,router_bgp.as,65009
DEVICE,router_bgp.as,65014
DEVICE,router_bgp.as,9
DEVICE,router_bgp.as,4
DEVICE,router_bgp.as,1
DEVICE,router_bgp.as,5
DEVICE,router_bgp.as,65002
DEVICE,router_bgp.as,13
DEVICE,router_bgp.as,904
DEVICE,router_bgp.as,8
DEVICE,NodeId,1
DEVICE,NodeId,3
DEVICE,NodeId,4
DEVICE,NodeId,5
DEVICE,NodeId,2
DEVICE,DC,Ex4-DC-eos3-eos4-eos9
DEVICE,DC,Ex4-DC-eos6-eos8-eos14
DEVICE,DC,Ex7-L3DC-eos2-eos3-eos4-eos5-eos9
DEVICE,DC,Ex8-DC-eos2-eos3-eos4-eos5-eos9
DEVICE,Campus-Pod,15
DEVICE,Campus-Pod,14
DEVICE,Campus-Pod,3
DEVICE,Campus-Pod,18
DEVICE,Campus-Pod,4
DEVICE,Campus-Pod,12
DEVICE,Campus-Pod,L2DC-eos12
DEVICE,Role,RR,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Role,RR,5B43A61E50CD1D472755A286BC30A92D
DEVICE,Role,Spine
DEVICE,Role,Leaf
DEVICE,Role,Core,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Role,Core,5B43A61E50CD1D472755A286BC30A92D
DEVICE,Role,Edge-Router,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Role,Edge-Router,59713B4DD921228883414E230589C755
DEVICE,Role,Edge-Router,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,Role,Edge-Router,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,Role,Edge-Router,5F25F4C27186651AB03E3940D74881AA
DEVICE,Role,Edge-Router,EB2057F064AFF73DFDE3FBCCA9A50ADD
DEVICE,Role,Edge-Router,433AD80F311A46CE26C34012C05E9714
DEVICE,Role,Edge-Router,54814A3FC3EDD8610AF41015CF093055
DEVICE,Role,Edge-Router,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,DC-Pod,1
DEVICE,DC-Pod,2
DEVICE,End-Devices,Site1
DEVICE,End-Devices,Site2
DEVICE,End-Devices,Site3
DEVICE,Switch-Group,End-Device-Building-1-2-3
DEVICE,Switch-Group,Core-eos14
DEVICE,Switch-Group,Switch3_Edge_Ports
DEVICE,Switch-Group,Switch3_and_4_Edge_Ports
DEVICE,Switch-Group,Switch8_Edge_Ports
DEVICE,Switch-Group,Building-eos11
DEVICE,Switch-Group,End-Devices-eos7-eos12-eos16-eos17
DEVICE,Switch-Group,Border-Leaf-eos6
DEVICE,Switch-Group,Switch4_Edge_Ports
DEVICE,Switch-Group,Building3-eos1-eos3
DEVICE,Switch-Group,L3DC_End_Devices
DEVICE,Switch-Group,Campus1
DEVICE,Switch-Group,DC2_Edge_Devices
DEVICE,Switch-Group,Campus-End-Devices
DEVICE,Switch-Group,DC1_End_Devices
DEVICE,Switch-Group,Campus2
DEVICE,Switch-Group,L2DC
DEVICE,Switch-Group,Building2-eos4
DEVICE,Network,Ex2-CoreNet-eos1-eos2-eos5-eos11-eos13-eos17
DEVICE,Network,Ex8-CoreNet-eos1-eos6-eos8-eos11-eos13
DEVICE,Network,Ex10-Core-Routers-FW-eos11-eos12-eos13,59713B4DD921228883414E230589C755
DEVICE,Network,Ex10-Core-Routers-FW-eos11-eos12-eos13,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,Network,Ex10-Core-Routers-FW-eos11-eos12-eos13,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,Network,Ex10-Overlay-Network-eos1-eos2-eos3-eos4-eos5-eos6-eos7-eos8,433AD80F311A46CE26C34012C05E9714
DEVICE,Network,Ex10-Overlay-Network-eos1-eos2-eos3-eos4-eos5-eos6-eos7-eos8,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Network,Ex10-Overlay-Network-eos1-eos2-eos3-eos4-eos5-eos6-eos7-eos8,54814A3FC3EDD8610AF41015CF093055
DEVICE,Network,Ex10-Overlay-Network-eos1-eos2-eos3-eos4-eos5-eos6-eos7-eos8,5B43A61E50CD1D472755A286BC30A92D
DEVICE,Network,Ex10-Overlay-Network-eos1-eos2-eos3-eos4-eos5-eos6-eos7-eos8,DFE7FE21F78BA4C5FCF03CB3E8D837EC
DEVICE,Network,Ex10-Overlay-Network-eos1-eos2-eos3-eos4-eos5-eos6-eos7-eos8,5F25F4C27186651AB03E3940D74881AA
DEVICE,Network,Ex10-Overlay-Network-eos1-eos2-eos3-eos4-eos5-eos6-eos7-eos8,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Network,Ex10-Overlay-Network-eos1-eos2-eos3-eos4-eos5-eos6-eos7-eos8,EB2057F064AFF73DFDE3FBCCA9A50ADD
DEVICE,Network,Ex7-CoreNet-eos1-eos6
DEVICE,Network,Ex9-ISP-eos18
DEVICE,Network,Ex3-CoreNet-eos1-eos2-eos5-eos11-eos13
DEVICE,Network,Ex3-ISP-eos7-eos10-eos19
DEVICE,Network,Ex1-CoreNet-eos1-eos11-eos13
DEVICE,Network,Ex2-ISP-eos7-eos10-eos19
DEVICE,Network,Ex9-Core-Router-eos14
DEVICE,Network,DC-Border-Leaf-eos4
DEVICE,Network,Ex9-ISP-eos15
